Frame,d (pixels)
1,110
2,109.9990909
3,109.9972727
4,109.9945453
5,109.9909087
6,109.9863628
7,109.9809074
8,109.9745425
9,109.9672679
10,109.9590833
11,109.9499886
12,109.9399836
13,109.929068
14,109.9172416
15,109.904504
16,109.8908549
17,109.8762941
18,109.860821
19,109.8444355
20,109.8271369
21,109.808925
22,109.7897992
23,109.769759
24,109.7488041
25,109.7269338
26,109.7041476
27,109.6804449
28,109.6558252
29,109.6302878
30,109.603832
31,109.5764573
32,109.5481629
33,109.5189481
34,109.4888122
35,109.4577544
36,109.4257739
37,109.39287
38,109.3590417
39,109.3242882
40,109.2886087
41,109.2520023
42,109.2144679
43,109.1760047
44,109.1366116
45,109.0962877
46,109.055032
47,109.0128433
48,108.9697206
49,108.9256627
50,108.8806686
51,108.8347371
52,108.787867
53,108.740057
54,108.691306
55,108.6416127
56,108.5909757
57,108.5393938
58,108.4868656
59,108.4333897
60,108.3789647
61,108.3235893
62,108.2672619
63,108.2099811
64,108.1517452
65,108.0925529
66,108.0324025
67,107.9712925
68,107.9092211
69,107.8461868
70,107.7821878
71,107.7172224
72,107.6512889
73,107.5843855
74,107.5165104
75,107.4476617
76,107.3778376
77,107.3070361
78,107.2352554
79,107.1624934
80,107.0887482
81,107.0140178
82,106.9383
83,106.8615927
84,106.7838939
85,106.7052014
86,106.6255129
87,106.5448262
88,106.4631392
89,106.3804493
90,106.2967544
91,106.212052
92,106.1263398
93,106.0396152
94,105.9518759
95,105.8631192
96,105.7733426
97,105.6825435
98,105.5907193
99,105.4978673
100,105.4039847
101,105.3090689
102,105.2131171
103,105.1161263
104,105.0180937
105,104.9190164
106,104.8188914
107,104.7177158
108,104.6154864
109,104.5122002
110,104.4078541
111,104.3024448
112,104.1959692
113,104.0884239
114,103.9798057
115,103.8701112
116,103.7593369
117,103.6474795
118,103.5345353
119,103.4205009
120,103.3053726
121,103.1891467
122,103.0718196
123,102.9533875
124,102.8338466
125,102.7131929
126,102.5914226
127,102.4685318
128,102.3445162
129,102.2193719
130,102.0930948
131,101.9656805
132,101.8371249
133,101.7074235
134,101.5765721
135,101.4445661
136,101.3114011
137,101.1770725
138,101.0415756
139,100.9049057
140,100.7670581
141,100.6280279
142,100.4878102
143,100.3464
144,100.2037923
145,100.059982
146,99.91496384
147,99.76873258
148,99.62128287
149,99.4726093
150,99.32270637
151,99.17156851
152,99.01919006
153,98.86556529
154,98.71068838
155,98.55455342
156,98.39715443
157,98.23848533
158,98.07853996
159,97.91731205
160,97.75479528
161,97.59098319
162,97.42586925
163,97.25944684
164,97.09170922
165,96.92264957
166,96.75226096
167,96.58053634
168,96.40746859
169,96.23305046
170,96.05727458
171,95.8801335
172,95.70161963
173,95.52172528
174,95.34044263
175,95.15776374
176,94.97368056
177,94.78818492
178,94.60126849
179,94.41292284
180,94.22313941
181,94.03190948
182,93.83922421
183,93.64507462
184,93.44945158
185,93.25234581
186,93.05374791
187,92.85364829
188,92.65203721
189,92.44890481
190,92.24424101
191,92.03803562
192,91.83027823
193,91.6209583
194,91.41006509
195,91.19758769
196,90.98351499
197,90.76783571
198,90.55053837
199,90.3316113
200,90.11104261
201,89.88882022
202,89.66493183
203,89.43936494
204,89.2121068
205,88.98314447
206,88.75246475
207,88.52005423
208,88.28589921
209,88.0499858
210,87.81229982
211,87.57282684
212,87.33155214
213,87.08846077
214,86.84353747
215,86.59676668
216,86.34813258
217,86.09761901
218,85.84520953
219,85.59088737
220,85.33463541
221,85.07643622
222,84.81627202
223,84.55412468
224,84.28997568
225,84.02380615
226,83.75559683
227,83.48532805
228,83.21297976
229,82.93853146
230,82.66196223
231,82.38325072
232,82.10237512
233,81.81931312
234,81.53404197
235,81.24653839
236,80.95677859
237,80.66473827
238,80.37039256
239,80.07371604
240,79.7746827
241,79.47326595
242,79.16943855
243,78.86317265
244,78.55443972
245,78.24321057
246,77.92945528
247,77.61314322
248,77.29424299
249,76.97272244
250,76.64854858
251,76.32168761
252,75.99210485
253,75.65976474
254,75.32463077
255,74.98666548
256,74.64583043
257,74.30208611
258,73.95539196
259,73.6057063
260,73.25298629
261,72.89718787
262,72.53826576
263,72.17617335
264,71.81086269
265,71.4422844
266,71.07038764
267,70.69512006
268,70.31642767
269,69.93425484
270,69.5485442
271,69.15923655
272,68.7662708
273,68.36958388
274,67.96911063
275,67.56478373
276,67.15653356
277,66.74428815
278,66.32797298
279,65.90751095
280,65.48282217
281,65.05382387
282,64.62043021
283,64.18255215
284,63.74009727
285,63.29296959
286,62.84106937
287,62.38429289
288,61.92253225
289,61.45567508
290,60.98360435
291,60.50619803
292,60.0233288
293,59.53486374
294,59.04066395
295,58.54058421
296,58.03447251
297,57.52216964
298,57.00350866
299,56.47831442
300,55.94640292
301,55.40758071
302,54.86164416
303,54.30837873
304,53.74755808
305,53.1789432
306,52.60228132
307,52.01730481
308,51.42372993
309,50.8212554
310,50.20956084
311,49.58830507
312,48.9571241
313,48.31562894
314,47.66340315
315,47
316,46.32493929
317,45.63770371
318,44.9377347
319,44.22442764
320,43.49712634
321,42.75511665
322,41.99761898
323,41.22377955
324,40.43266007
325,39.62322551
326,38.79432948
327,37.9446966
328,37.07290115
329,36.17734097
330,35.25620513
331,34.3074336
332,33.32866634
333,32.31717809
334,31.26979373
335,30.18277655
336,29.05167809
337,27.87113202
338,26.63456401
339,25.33377193
340,23.9582971
341,22.49444376
342,20.92367081
343,19.21978148
344,17.34358671
345,15.23154621
346,12.76714533
347,9.68504001
348,4.939635614
